Frequency (Hz),Ne10 MDCT i32 plain C spectrum,Ref MDCT spectrum
14625,777,777
14671.9,789,789
14718.8,772,774
14765.6,783,786
14812.5,769,771
14859.4,782,782
14906.2,768,768
14953.1,778,779
15000,762,763
15046.9,774,776
15093.8,759,763
15140.6,774,773
15187.5,758,759
15234.4,767,769
15281.2,759,756
15328.1,767,766
15375,752,753
15421.9,764,763
15468.8,754,750
15515.6,760,760
15562.5,748,747
15609.4,758,757
15656.2,745,745
15703.1,756,754
15750,740,742
15796.9,756,751
15843.8,740,740
15890.6,748,749
15937.5,735,737
15984.4,748,746
16031.2,733,734
16078.1,743,743
16125,731,732
16171.9,739,741
16218.8,729,729
16265.6,736,738
16312.5,730,727
16359.4,738,735
16406.2,724,724
16453.1,732,733
16500,720,722
16546.9,728,730
16593.8,723,719
16640.6,726,728
16687.5,716,718
16734.4,727,725
16781.2,714,715
16828.1,724,723
16875,707,713
16921.9,720,721
16968.8,707,711
17015.6,718,718
17062.5,709,709
17109.4,715,716
17156.2,705,707
17203.1,716,714
17250,705,705
17296.9,710,712
17343.8,701,703
17390.6,710,710
17437.5,706,703
17484.4,707,708
17531.2,700,699
17578.1,706,706
17625,696,697
17671.9,702,704
17718.8,697,696
17765.6,704,702
17812.5,692,693
17859.4,696,700
17906.2,695,692
17953.1,698,698
18000,690,690
18046.9,693,696
18093.8,692,689
18140.6,698,694
18187.5,691,687
18234.4,693,693
18281.2,688,685
18328.1,693,691
18375,685,684
18421.9,691,689
18468.8,683,682
18515.6,690,687
18562.5,677,680
18609.4,685,684
18656.2,679,679
18703.1,684,685
18750,678,678
18796.9,682,683
18843.8,677,676
18890.6,679,681
18937.5,676,675
18984.4,676,680
19031.2,671,675
19078.1,680,678
19125,671,672
19171.9,677,677
19218.8,669,671
19265.6,677,675
19312.5,671,670
19359.4,676,674
19406.2,665,668
19453.1,676,673
19500,670,667
19546.9,673,672
19593.8,664,666
19640.6,670,670
19687.5,667,665
19734.4,671,669
19781.2,664,664
19828.1,670,667
19875,660,663
19921.9,671,666
19968.8,664,662
20015.6,663,665
20062.5,663,660
20109.4,664,664
20156.2,660,659
20203.1,661,663
20250,658,659
20296.9,660,662
20343.8,656,658
20390.6,658,661
20437.5,653,657
20484.4,661,660
20531.2,655,656
20578.1,659,659
20625,650,654
20671.9,657,658
20718.8,655,654
20765.6,656,657
20812.5,653,653
20859.4,655,656
20906.2,650,652
20953.1,655,655
21000,647,651
21046.9,653,655
21093.8,652,651
21140.6,655,654
21187.5,649,650
21234.4,654,653
21281.2,650,650
21328.1,655,652
21375,649,649
21421.9,652,652
21468.8,650,648
21515.6,649,651
21562.5,651,648
21609.4,649,650
21656.2,644,647
21703.1,651,649
21750,647,647
21796.9,649,649
21843.8,643,646
21890.6,647,648
21937.5,646,645
21984.4,652,647
22031.2,647,645
22078.1,647,647
22125,645,644
22171.9,645,646
22218.8,644,644
22265.6,646,646
22312.5,642,644
22359.4,646,645
22406.2,648,643
22453.1,646,645
22500,649,643
22546.9,644,644
22593.8,645,642
22640.6,644,644
22687.5,641,642
22734.4,643,643
22781.2,643,642
22828.1,648,643
22875,639,642
22921.9,640,643
22968.8,640,642
23015.6,642,641
23062.5,641,641
23109.4,646,642
23156.2,639,641
23203.1,644,642
23250,643,641
23296.9,647,642
23343.8,641,641
23390.6,638,641
23437.5,640,641
23484.4,642,641
23531.2,641,641
23578.1,642,641
23625,642,641
23671.9,644,641
23718.8,642,640
23765.6,642,641
23812.5,723,640
23859.4,640,640
23906.2,634,640
23953.1,642,640
24000,637,640
