time (ms),signal in,signal out,frequency (Hz),spectrum
2.54167,-0.0471024,0.572417,5765.62,0.0549446,
2.5625,-0.0706133,0.531604,5812.5,0.05129,
2.58333,-0.0940758,0.490428,5859.38,0.0540739,
2.60417,-0.117474,0.448915,5906.25,0.0505383,
2.625,-0.140791,0.407094,5953.12,0.0532319,
2.64583,-0.164012,0.364995,6000,0.0498101,
2.66667,-0.187121,0.322645,6046.88,0.052418,
2.6875,-0.210101,0.280075,6093.75,0.0491048,
2.70833,-0.232937,0.237312,6140.62,0.0516304,
2.72917,-0.255614,0.194386,6187.5,0.0484206,
2.75,-0.278115,0.151328,6234.38,0.0508678,
2.77083,-0.300426,0.108165,6281.25,0.0477573,
2.79167,-0.322531,0.0649287,6328.12,0.0501297,
2.8125,-0.344415,0.0216482,6375,0.0471134,
2.83333,-0.366063,-0.0216478,6421.88,0.0494144,
2.85417,-0.38746,-0.0649292,6468.75,0.0464886,
2.875,-0.408591,-0.108165,6515.62,0.0487209,
2.89583,-0.429443,-0.151328,6562.5,0.0458811,
2.91667,-0.45,-0.194386,6609.38,0.0480492,
2.9375,-0.470249,-0.237311,6656.25,0.0452923,
2.95833,-0.490175,-0.280074,6703.12,0.0473964,
2.97917,-0.509766,-0.322644,6750,0.0447195,
3,-0.529007,-0.364994,6796.88,0.0467632,
3.02083,-0.547885,-0.407094,6843.75,0.0441622,
3.04167,-0.566388,-0.448914,6890.62,0.0461486,
3.0625,-0.584503,-0.490427,6937.5,0.0436214,
3.08333,-0.602218,-0.531604,6984.38,0.0455505,
3.10417,-0.619519,-0.572416,7031.25,0.0430936,
3.125,-0.636396,-0.612837,7078.12,0.0449713,
3.14583,-0.652837,-0.652837,7125,0.0425813,
3.16667,-0.66883,-0.692389,7171.88,0.0444072,
3.1875,-0.684366,-0.731468,7218.75,0.0420823,
3.20833,-0.699431,-0.770045,7265.62,0.0438587,
3.22917,-0.714018,-0.808093,7312.5,0.0415959,
3.25,-0.728115,-0.845589,7359.38,0.0433253,
3.27083,-0.741714,-0.882504,7406.25,0.0411227,
3.29167,-0.754803,-0.918815,7453.12,0.0428068,
3.3125,-0.767376,-0.954497,7500,0.0406615,
3.33333,-0.779423,-0.989524,7546.88,0.0423019,
3.35417,-0.790935,-1.02387,7593.75,0.0402123,
3.375,-0.801906,-1.05752,7640.62,0.0418101,
3.39583,-0.812327,-1.09044,7687.5,0.039774,
3.41667,-0.822191,-1.12262,7734.38,0.0413312,
3.4375,-0.831492,-1.15402,7781.25,0.0393469,
