Frequency (Hz),Ne10 MDCT i32 Neon spectrum,Ref MDCT spectrum
9234.38,1152,1150
9281.25,1103,1105
9328.12,1136,1139
9375,1098,1096
9421.88,1130,1131
9468.75,1088,1087
9515.62,1120,1119
9562.5,1075,1078
9609.38,1111,1109
9656.25,1070,1069
9703.12,1097,1100
9750,1059,1060
9796.88,1089,1090
9843.75,1051,1050
9890.62,1085,1082
9937.5,1042,1043
9984.38,1075,1073
10031.2,1036,1035
10078.1,1058,1064
10125,1024,1027
10171.9,1054,1055
10218.8,1017,1018
10265.6,1049,1047
10312.5,1012,1011
10359.4,1039,1039
10406.2,1005,1004
10453.1,1029,1031
10500,996,996
10546.9,1027,1023
10593.8,991,988
10640.6,1011,1014
10687.5,985,983
10734.4,1011,1007
10781.2,978,976
10828.1,1002,1000
10875,967,969
10921.9,992,993
10968.8,961,962
11015.6,985,984
11062.5,955,956
11109.4,976,979
11156.2,946,949
11203.1,969,972
11250,939,943
11296.9,967,965
11343.8,936,936
11390.6,958,959
11437.5,931,932
11484.4,952,952
11531.2,923,925
11578.1,947,945
11625,916,919
11671.9,941,939
11718.8,913,913
11765.6,933,933
11812.5,907,909
11859.4,928,927
11906.2,900,902
11953.1,919,921
12000,897,896
12046.9,917,915
12093.8,891,891
12140.6,907,909
12187.5,882,886
12234.4,907,905
12281.2,880,880
12328.1,898,899
12375,878,875
12421.9,898,893
12468.8,869,870
12515.6,886,888
12562.5,869,866
12609.4,881,883
12656.2,861,861
12703.1,875,878
12750,854,856
12796.9,873,873
12843.8,852,851
12890.6,868,868
12937.5,847,847
12984.4,866,863
13031.2,844,843
13078.1,857,858
13125,838,838
13171.9,855,853
13218.8,835,834
13265.6,849,849
13312.5,832,829
13359.4,843,844
13406.2,827,824
13453.1,840,840
13500,824,822
13546.9,836,836
13593.8,815,817
13640.6,831,831
13687.5,815,813
13734.4,830,827
13781.2,811,809
13828.1,823,823
13875,801,806
13921.9,820,819
13968.8,802,802
14015.6,814,815
14062.5,801,798
14109.4,816,811
14156.2,792,794
14203.1,808,807
14250,794,792
14296.9,805,804
14343.8,791,788
14390.6,800,800
14437.5,786,784
14484.4,796,796
14531.2,779,781
14578.1,791,793
14625,776,777
14671.9,790,789
14718.8,773,774
14765.6,783,786
14812.5,769,771
14859.4,783,782
14906.2,768,768
14953.1,778,779
15000,762,763
15046.9,774,776
15093.8,760,763
15140.6,773,773
15187.5,757,759
15234.4,767,769
15281.2,759,756
15328.1,766,766
15375,752,753
15421.9,764,763
15468.8,754,750
15515.6,760,760
15562.5,747,747
15609.4,758,757
15656.2,746,745
15703.1,755,754
15750,740,742
15796.9,757,751
15843.8,741,740
15890.6,748,749
15937.5,735,737
15984.4,749,746
16031.2,733,734
16078.1,743,743
16125,730,732
16171.9,739,741
16218.8,728,729
16265.6,736,738
16312.5,729,727
16359.4,738,735
16406.2,724,724
16453.1,732,733
16500,720,722
16546.9,728,730
16593.8,723,719
16640.6,726,728
16687.5,716,718
16734.4,728,725
16781.2,715,715
16828.1,724,723
16875,706,713
16921.9,721,721
16968.8,707,711
17015.6,717,718
17062.5,709,709
17109.4,716,716
17156.2,706,707
17203.1,715,714
17250,705,705
17296.9,711,712
17343.8,701,703
17390.6,710,710
17437.5,705,703
17484.4,707,708
17531.2,700,699
17578.1,706,706
17625,696,697
17671.9,702,704
17718.8,698,696
17765.6,704,702
17812.5,692,693
17859.4,697,700
17906.2,695,692
17953.1,698,698
18000,689,690
18046.9,694,696
18093.8,692,689
18140.6,697,694
18187.5,690,687
18234.4,694,693
18281.2,688,685
18328.1,692,691
18375,685,684
18421.9,691,689
18468.8,684,682
18515.6,690,687
18562.5,676,680
18609.4,686,684
18656.2,680,679
18703.1,683,685
18750,677,678
18796.9,683,683
18843.8,678,676
18890.6,679,681
18937.5,676,675
18984.4,677,680
19031.2,672,675
19078.1,679,678
19125,671,672
19171.9,678,677
19218.8,669,671
19265.6,677,675
19312.5,671,670
19359.4,677,674
19406.2,666,668
19453.1,676,673
19500,670,667
19546.9,673,672
19593.8,664,666
19640.6,669,670
19687.5,666,665
19734.4,671,669
19781.2,664,664
19828.1,669,667
19875,659,663
19921.9,671,666
19968.8,664,662
20015.6,663,665
20062.5,662,660
20109.4,664,664
20156.2,660,659
20203.1,661,663
20250,657,659
20296.9,660,662
20343.8,656,658
20390.6,657,661
20437.5,652,657
20484.4,662,660
20531.2,655,656
20578.1,658,659
20625,650,654
20671.9,658,658
20718.8,655,654
20765.6,656,657
20812.5,653,653
20859.4,656,656
20906.2,651,652
20953.1,655,655
21000,646,651
21046.9,654,655
21093.8,653,651
21140.6,654,654
21187.5,648,650
21234.4,655,653
21281.2,650,650
21328.1,655,652
21375,648,649
21421.9,652,652
21468.8,650,648
21515.6,649,651
21562.5,650,648
21609.4,649,650
21656.2,644,647
21703.1,651,649
21750,647,647
21796.9,650,649
21843.8,644,646
21890.6,646,648
21937.5,646,645
21984.4,652,647
22031.2,646,645
22078.1,647,647
22125,645,644
22171.9,646,646
22218.8,645,644
22265.6,645,646
22312.5,642,644
22359.4,645,645
22406.2,649,643
22453.1,645,645
22500,648,643
