Frequency (Hz),Ne10 MDCT f32 spectrum,FFTW3 f32 spectrum,Ref MDCT spectrum
10546.9,0.0312119,0.0312119,0.0312258
10593.8,0.0301978,0.0301978,0.0301997
10640.6,0.0309756,0.0309756,0.0309772
10687.5,0.0299819,0.0299818,0.0300244
10734.4,0.0307448,0.0307449,0.0307609
10781.2,0.0297699,0.0297699,0.0297618
10828.1,0.0305176,0.0305176,0.0305422
10875,0.029562,0.029562,0.0295575
10921.9,0.0302953,0.0302953,0.0302833
10968.8,0.029358,0.029358,0.0293579
11015.6,0.0300772,0.0300773,0.0301432
11062.5,0.0291581,0.0291582,0.0291627
11109.4,0.0298632,0.0298631,0.0298771
11156.2,0.0289618,0.0289619,0.0289521
11203.1,0.0296538,0.0296538,0.0296074
11250,0.0287693,0.0287693,0.0287854
11296.9,0.0294479,0.029448,0.0294678
11343.8,0.0285805,0.0285805,0.0286037
11390.6,0.0292465,0.0292465,0.0294098
11437.5,0.0283952,0.0283952,0.0283871
11484.4,0.0290487,0.0290486,0.0290401
11531.2,0.0282131,0.0282131,0.028212
11578.1,0.0288543,0.0288542,0.0288474
11625,0.0280345,0.0280344,0.0280321
11671.9,0.0286638,0.0286639,0.0286867
11718.8,0.0278593,0.0278592,0.027743
11765.6,0.0284768,0.0284768,0.0284828
11812.5,0.0276871,0.0276865,0.0276583
11859.4,0.0282932,0.0282932,0.0283012
11906.2,0.0275183,0.0275183,0.0275171
11953.1,0.0281132,0.0281132,0.0281122
12000,0.0273524,0.0273524,0.0273461
12046.9,0.0279366,0.0279366,0.0279348
12093.8,0.0271896,0.0271896,0.0271844
12140.6,0.0277629,0.027763,0.0276114
12187.5,0.0270296,0.0270296,0.0270369
12234.4,0.0275933,0.027594,0.0275814
12281.2,0.0268727,0.0268728,0.0268724
12328.1,0.0274257,0.0274258,0.0274207
12375,0.0267184,0.0267185,0.0267205
12421.9,0.0272615,0.0272615,0.0272766
12468.8,0.026567,0.026567,0.0265238
12515.6,0.0271006,0.0271006,0.0270336
12562.5,0.0264183,0.0264182,0.0264521
12609.4,0.026942,0.0269419,0.0268871
12656.2,0.0262719,0.026272,0.0262156
12703.1,0.0267865,0.0267865,0.0267712
12750,0.0261285,0.0261285,0.0261112
12796.9,0.026634,0.0266339,0.0266431
12843.8,0.0259874,0.0259874,0.0259723
12890.6,0.026484,0.0264839,0.0264887
12937.5,0.025849,0.0258491,0.0258894
12984.4,0.0263363,0.0263364,0.026331
13031.2,0.0257129,0.0257129,0.0257175
13078.1,0.0261918,0.0261918,0.0261952
13125,0.0255791,0.0255791,0.0255755
13171.9,0.0260499,0.0260499,0.0260807
13218.8,0.0254477,0.0254478,0.0255289
13265.6,0.0259104,0.0259104,0.0259083
13312.5,0.0253191,0.0253191,0.0252915
13359.4,0.0257729,0.0257729,0.0257512
13406.2,0.0251917,0.0251917,0.0251917
13453.1,0.0256381,0.0256381,0.0256401
13500,0.0250672,0.0250672,0.0250573
13546.9,0.0255058,0.0255058,0.0254885
13593.8,0.0249451,0.0249451,0.0248667
13640.6,0.0253757,0.0253757,0.0253818
13687.5,0.0248241,0.0248241,0.0248122
13734.4,0.0252477,0.0252475,0.0252386
13781.2,0.0247062,0.0247062,0.0247072
13828.1,0.0251222,0.0251222,0.0250872
13875,0.0245899,0.0245899,0.0245872
13921.9,0.0249989,0.0249989,0.0249072
13968.8,0.0244756,0.0244756,0.0244754
14015.6,0.0248777,0.0248777,0.0248808
14062.5,0.0243638,0.0243638,0.0243478
14109.4,0.0247583,0.0247584,0.0247503
14156.2,0.0242533,0.0242533,0.0242283
14203.1,0.0246412,0.0246412,0.0246424
14250,0.0241449,0.0241449,0.024124
14296.9,0.0245261,0.0245261,0.0245201
14343.8,0.0240383,0.0240383,0.0240434
14390.6,0.0244132,0.0244132,0.0244286
14437.5,0.0239337,0.0239336,0.0239489
14484.4,0.0243018,0.0243019,0.0243159
14531.2,0.0238306,0.0238307,0.0238272
14578.1,0.0241929,0.0241929,0.0241823
14625,0.0237296,0.0237295,0.0237468
14671.9,0.0240853,0.0240853,0.0240758
14718.8,0.0236299,0.0236299,0.0236406
14765.6,0.0239795,0.0239795,0.0239793
14812.5,0.0235332,0.0235327,0.0235619
14859.4,0.0238748,0.0238749,0.0238394
14906.2,0.0234367,0.0234366,0.0234342
14953.1,0.0237742,0.0237742,0.0237835
15000,0.0233419,0.0233419,0.0233421
15046.9,0.0236738,0.0236738,0.0236874
15093.8,0.0232496,0.0232496,0.0232357
15140.6,0.0235752,0.0235754,0.023632
15187.5,0.0231581,0.0231581,0.0231704
15234.4,0.0234789,0.0234795,0.0235001
15281.2,0.0230691,0.0230692,0.0230762
15328.1,0.0233841,0.0233842,0.0233701
15375,0.0229803,0.0229803,0.022955
15421.9,0.0232901,0.0232902,0.0233912
15468.8,0.0228941,0.0228941,0.0228911
15515.6,0.0231989,0.0231989,0.0232082
15562.5,0.0228094,0.0228094,0.0228132
15609.4,0.0231084,0.0231085,0.0231078
15656.2,0.0227258,0.0227259,0.0227066
