time (ms),signal (f64),signal (f32),signal (i16),multi amplitudes signal,multi frequencies signal,frequency (Hz),ref spectrum f64,ref spectrum f32,ref spectrum i32,FFTW3 spectrum f32,FFTW3 spectrum i32 (scaled to q15),Ne10 spectrum f32,Ne10 spectrum i32 c,Ne10 spectrum i32 neon,ref spectrum multi amplitudes,Ne10 spectrum multi amplitudes,ref spectrum multi frequencies,Ne10 spectrum multi frequencies,ref spectrum random,Ne10 spectrum random,ref spectrum with MLT,Ne10 spectrum with MLT,
3.5,-0.223821,-0.223821,-7334,-115,-4234,15843.8,0.021165,0.0211475,692,0.021165,693,0.0211649,694,694,64,65,804,802,2383,2384,410,411,
3.52083,-0.27363,-0.273629,-8966,-212,89,15937.5,0.0210881,0.0211038,690,0.0210885,691,0.0210884,690,690,64,64,804,803,2375,2374,408,407,
3.54167,-0.322531,-0.322531,-10568,-350,9099,16031.2,0.0210127,0.0210787,688,0.021013,688,0.0210129,688,689,64,64,803,801,2366,2365,405,406,
3.5625,-0.370363,-0.370363,-12136,-537,-4096,16125,0.0209385,0.0209401,685,0.0209384,686,0.0209383,685,683,64,62,803,804,2358,2356,405,405,
3.58333,-0.416966,-0.416966,-13663,-777,-2582,16218.8,0.0208657,0.0208531,683,0.0208655,683,0.0208655,683,683,62,62,804,804,2349,2349,403,403,
3.60417,-0.462187,-0.462187,-15144,-1074,-5784,16312.5,0.0207941,0.0208015,681,0.0207942,681,0.0207942,682,681,63,62,807,809,2341,2341,402,401,
3.625,-0.505875,-0.505875,-16576,-1433,-8730,16406.2,0.0207238,0.0207329,679,0.0207245,679,0.0207246,680,679,63,63,810,809,2334,2329,400,400,
3.64583,-0.547885,-0.547885,-17953,-1854,11690,16500,0.0206548,0.0206468,676,0.0206547,676,0.0206546,676,676,62,61,816,816,2325,2327,399,398,
3.66667,-0.588079,-0.588079,-19270,-2341,11003,16593.8,0.020587,0.0206185,673,0.0205872,674,0.0205872,673,673,61,61,823,823,2318,2317,398,399,
3.6875,-0.626322,-0.626321,-20523,-2892,5972,16687.5,0.0205204,0.0204857,673,0.0205201,672,0.0205201,673,673,62,62,834,835,2310,2311,396,396,
3.70833,-0.662487,-0.662487,-21708,-3507,8406,16781.2,0.0204551,0.0204982,670,0.0204554,670,0.0204553,671,671,62,63,847,847,2303,2305,396,396,
3.72917,-0.696456,-0.696456,-22821,-4183,-5341,16875,0.0203909,0.0204077,668,0.020388,668,0.020388,668,667,62,62,867,868,2295,2295,393,393,
3.75,-0.728115,-0.728115,-23858,-4917,837,16968.8,0.0203278,0.0203238,666,0.0203276,666,0.0203274,664,665,61,62,896,895,2288,2286,393,393,
3.77083,-0.75736,-0.75736,-24817,-5704,6958,17062.5,0.0202659,0.0202848,663,0.0202664,664,0.0202664,664,663,61,61,937,937,2282,2279,391,391,
3.79167,-0.784092,-0.784092,-25693,-6540,-6964,17156.2,0.0202052,0.0201872,661,0.0202055,662,0.0202055,662,663,60,61,996,996,2275,2271,391,391,
3.8125,-0.808225,-0.808225,-26483,-7416,-4817,17250,0.0201456,0.0201438,660,0.0201456,660,0.0201455,659,659,61,61,1092,1092,2268,2270,390,388,
3.83333,-0.829677,-0.829677,-27186,-8325,-10246,17343.8,0.0200871,0.0200888,657,0.020087,658,0.020087,657,658,61,62,1259,1259,2262,2259,388,388,
3.85417,-0.848377,-0.848377,-27799,-9259,-11431,17437.5,0.0200296,0.0200775,656,0.02003,656,0.02003,656,656,60,60,1594,1594,2255,2258,388,386,
3.875,-0.864264,-0.864264,-28320,-10209,8395,17531.2,0.0199733,0.0199381,654,0.0199736,654,0.0199736,655,655,60,61,2522,2523,2249,2245,386,386,
3.89583,-0.877285,-0.877285,-28746,-11164,4771,17625,0.019918,0.0199482,652,0.0199184,652,0.0199177,654,653,60,60,86257,86251,2242,2249,384,384,
3.91667,-0.887396,-0.887396,-29078,-12114,817,17718.8,0.0198638,0.0198397,650,0.0198664,650,0.0198663,650,651,61,62,5315,5315,2237,2233,384,385,
3.9375,-0.894565,-0.894565,-29313,-13048,1517,17812.5,0.0198106,0.0198129,648,0.01981,649,0.01981,649,648,60,59,1841,1841,2231,2231,382,381,
3.95833,-0.898767,-0.898767,-29450,-13954,-12540,17906.2,0.0197585,0.0197635,647,0.019758,647,0.019758,647,647,59,60,1172,1173,2225,2223,382,383,
3.97917,-0.899988,-0.899988,-29490,-14822,-4425,18000,0.0197073,0.0196916,644,0.0197078,645,0.0197078,644,644,60,59,914,915,2218,2221,381,381,
4,-0.898224,-0.898224,-29433,-15640,-1016,18093.8,0.0196572,0.0196792,643,0.0196571,644,0.0196571,644,644,59,60,792,793,2213,2216,379,381,
4.02083,-0.893482,-0.893482,-29277,-16397,-14688,18187.5,0.019608,0.0195853,642,0.0196086,642,0.0196086,642,641,60,59,725,725,2209,2209,379,379,
4.04167,-0.885776,-0.885776,-29025,-17082,-11646,18281.2,0.0195599,0.0195692,640,0.01956,640,0.01956,640,642,59,60,686,686,2203,2206,379,379,
4.0625,-0.875133,-0.875133,-28676,-17685,-18481,18375,0.0195127,0.0194881,639,0.0195124,639,0.0195125,637,638,59,59,661,662,2197,2203,377,376,
4.08333,-0.861588,-0.861588,-28232,-18196,-16919,18468.8,0.0194664,0.0194455,638,0.0194662,637,0.0194662,637,638,58,58,646,646,2192,2194,376,376,
4.10417,-0.845185,-0.845185,-27695,-18606,2580,18562.5,0.0194212,0.0194302,636,0.0194212,636,0.0194213,635,634,59,57,635,635,2187,2187,375,375,
4.125,-0.825979,-0.825979,-27065,-18907,-2798,18656.2,0.0193768,0.0193221,634,0.0193771,634,0.0193771,633,634,58,59,626,626,2182,2181,374,375,
4.14583,-0.804034,-0.804035,-26346,-19092,-4724,18750,0.0193334,0.0194404,634,0.0193334,633,0.0193334,632,631,57,56,621,621,2177,2172,374,374,
4.16667,-0.779423,-0.779423,-25540,-19155,-5108,18843.8,0.0192909,0.0193121,632,0.0192907,632,0.0192907,630,631,58,58,617,616,2172,2168,373,374,
4.1875,-0.752227,-0.752227,-24648,-19090,-18046,18937.5,0.0192493,0.0192516,630,0.01925,630,0.01925,630,629,57,56,611,613,2167,2168,372,371,
4.20833,-0.722536,-0.722536,-23676,-18896,-7372,19031.2,0.0192087,0.0192456,629,0.0192093,629,0.0192093,629,630,58,59,607,608,2163,2163,371,371,
4.22917,-0.690449,-0.690449,-22624,-18568,-5873,19125,0.0191689,0.0192554,627,0.0191707,628,0.0191708,626,625,57,55,606,607,2158,2160,371,369,
4.25,-0.656072,-0.656072,-21498,-18107,-17938,19218.8,0.01913,0.0191283,627,0.0191341,626,0.019134,627,627,57,58,603,601,2154,2152,369,370,
4.27083,-0.619519,-0.61952,-20300,-17512,-13488,19312.5,0.019092,0.0190764,625,0.0190826,625,0.0190826,625,623,59,56,601,601,2150,2152,369,368,
4.29167,-0.580912,-0.580912,-19035,-16787,-20661,19406.2,0.0190548,0.0190231,623,0.0190552,624,0.0190551,625,625,57,59,598,598,2146,2144,368,369,
4.3125,-0.540378,-0.540378,-17707,-15933,-15417,19500,0.0190185,0.0190208,623,0.0190187,623,0.0190187,622,621,56,56,598,598,2141,2144,368,367,
4.33333,-0.498052,-0.498053,-16320,-14956,3946,19593.8,0.0189831,0.0189749,622,0.0189834,622,0.0189834,622,622,57,58,596,596,2138,2136,367,367,
4.35417,-0.454075,-0.454075,-14879,-13862,-2162,19687.5,0.0189485,0.0189334,620,0.0189491,620,0.0189491,622,621,57,57,594,595,2134,2138,367,366,
4.375,-0.408591,-0.408591,-13388,-12659,-1551,19781.2,0.0189147,0.0189131,619,0.0189151,619,0.018915,620,620,57,58,593,592,2130,2131,365,367,
4.39583,-0.361753,-0.361753,-11853,-11354,-2770,19875,0.0188818,0.0188714,618,0.0188816,618,0.0188815,618,617,56,56,593,593,2126,2128,365,364,
4.41667,-0.313715,-0.313715,-10279,-9957,-13760,19968.8,0.0188497,0.0188538,617,0.018849,617,0.018849,615,617,56,56,590,589,2123,2122,364,365,
4.4375,-0.264636,-0.264637,-8671,-8479,-682,20062.5,0.0188184,0.0188211,617,0.0188183,616,0.0188183,617,616,56,56,589,589,2119,2117,364,364,
4.45833,-0.21468,-0.21468,-7034,-6933,-994,20156.2,0.0187879,0.0187961,615,0.0187962,615,0.0187962,615,615,56,56,587,587,2116,2116,363,363,
4.47917,-0.164012,-0.164012,-5374,-5329,-11044,20250,0.0187583,0.0187314,614,0.0187546,614,0.0187545,616,615,56,56,586,586,2112,2111,363,362,
4.5,-0.1128,-0.1128,-3696,-3681,-5672,20343.8,0.0187294,0.018724,614,0.0187279,613,0.0187278,613,613,56,56,586,585,2109,2109,363,363,
4.52083,-0.0612138,-0.061214,-2005,-2003,-13081,20437.5,0.0187013,0.0187039,613,0.0186997,612,0.0186997,613,613,56,56,584,584,2106,2105,362,361,
4.54167,-0.00942461,-0.00942458,-308,-308,-4427,20531.2,0.018674,0.0186775,611,0.0186732,611,0.0186733,613,613,56,58,582,581,2103,2100,361,362,
4.5625,0.0423958,0.0423953,1389,1388,13891,20625,0.0186475,0.0186447,610,0.0186463,611,0.0186461,609,608,56,55,582,582,2100,2097,359,359,
4.58333,0.0940756,0.0940754,3082,3074,6950,20718.8,0.0186218,0.0185781,609,0.0186216,610,0.0186216,607,608,56,55,580,580,2097,2095,360,361,
4.60417,0.145443,0.145444,4765,4734,9334,20812.5,0.0185969,0.0186022,608,0.018597,609,0.018597,610,608,55,55,581,581,2095,2092,359,359,
4.625,0.196329,0.196328,6433,6355,6427,20906.2,0.0185727,0.0185746,609,0.0185729,608,0.0185729,609,610,55,56,580,580,2092,2090,359,360,
4.64583,0.246563,0.246563,8079,7924,-2974,21000,0.0185492,0.0185369,608,0.0185492,607,0.0185492,608,608,55,54,578,580,2089,2090,358,357,
4.66667,0.29598,0.29598,9698,9428,11159,21093.8,0.0185266,0.0185181,606,0.0185264,607,0.0185264,606,608,55,55,578,578,2086,2085,358,359,
4.6875,0.344415,0.344415,11285,10856,8155,21187.5,0.0185047,0.0185695,606,0.0185047,606,0.0185047,605,605,55,55,576,577,2083,2084,357,357,
4.70833,0.391708,0.391708,12835,12195,-564,21281.2,0.0184835,0.0184802,605,0.0184836,605,0.0184837,607,608,55,57,576,575,2082,2082,357,357,
4.72917,0.437702,0.437701,14342,13437,4294,21375,0.0184631,0.0184682,605,0.0184627,604,0.0184626,603,602,55,53,575,576,2079,2078,357,356,
4.75,0.482244,0.482244,15802,14572,-4046,21468.8,0.0184434,0.0184572,603,0.0184435,604,0.0184434,604,605,55,55,574,572,2077,2076,356,357,
4.77083,0.525187,0.525187,17209,15592,6880,21562.5,0.0184244,0.0184307,603,0.0184236,603,0.0184236,604,603,55,55,573,574,2075,2077,356,356,
4.79167,0.566388,0.566388,18559,16491,22646,21656.2,0.0184062,0.018429,603,0.0184048,603,0.0184048,605,605,55,57,573,571,2073,2074,356,357,
4.8125,0.605711,0.605711,19847,17264,14259,21750,0.0183887,0.0183864,603,0.0183897,602,0.0183898,603,603,55,55,573,573,2071,2073,356,354,
4.83333,0.643025,0.643025,21070,17906,17149,21843.8,0.018372,0.0183692,601,0.0183717,602,0.0183717,602,603,55,55,571,571,2069,2069,355,357,
4.85417,0.678207,0.678207,22223,18416,11501,21937.5,0.0183559,0.0183851,601,0.0183562,601,0.0183562,601,601,54,54,571,571,2067,2069,354,354,
4.875,0.71114,0.711139,23302,18792,3119,22031.2,0.0183406,0.018321,601,0.0183406,600,0.0183406,603,602,54,55,571,572,2066,2062,355,355,
4.89583,0.741714,0.741714,24304,19035,16897,22125,0.018326,0.0183048,600,0.0183255,600,0.0183255,601,600,55,54,570,570,2064,2066,354,353,
4.91667,0.769828,0.769828,25225,19146,10528,22218.8,0.0183121,0.0183028,600,0.0183117,600,0.0183118,598,598,55,53,570,569,2062,2063,354,354,
4.9375,0.795389,0.795389,26063,19129,2621,22312.5,0.0182989,0.0182768,599,0.018299,599,0.018299,601,600,54,54,569,570,2061,2063,353,353,
4.95833,0.818312,0.818312,26814,18988,5922,22406.2,0.0182865,0.0182716,598,0.0182867,599,0.0182867,598,598,54,54,567,567,2059,2059,353,353,
4.97917,0.838522,0.838522,27476,18728,-3496,22500,0.0182747,0.0182792,598,0.0182745,598,0.0182745,598,597,54,53,568,570,2058,2058,352,352,
5,0.855951,0.855951,28047,18357,9076,22593.8,0.0182636,0.0182755,598,0.0182623,598,0.0182623,598,598,54,54,566,565,2056,2060,353,354,
5.02083,0.870541,0.870541,28525,17882,21584,22687.5,0.0182533,0.0182827,598,0.0182541,598,0.0182541,597,596,55,54,567,568,2056,2064,354,352,
5.04167,0.882244,0.882244,28909,17311,11973,22781.2,0.0182436,0.0182274,598,0.0182436,597,0.0182436,600,600,55,55,566,567,2054,2053,353,354,
5.0625,0.891021,0.891021,29196,16655,14954,22875,0.0182346,0.0182477,597,0.0182353,597,0.0182352,598,596,54,53,567,567,2054,2052,352,352,
5.08333,0.896844,0.896844,29387,15923,6604,22968.8,0.0182264,0.0182654,597,0.0182263,597,0.0182261,598,599,55,55,565,565,2053,2055,352,354,
5.10417,0.899692,0.899692,29481,15126,-325,23062.5,0.0182188,0.0182456,597,0.0182198,597,0.0182199,596,595,54,53,566,566,2052,2049,352,352,
5.125,0.899556,0.899556,29476,14275,12778,23156.2,0.0182119,0.0181997,597,0.0182122,596,0.0182122,596,596,54,54,566,564,2051,2052,353,353,
5.14583,0.896437,0.896437,29374,13381,3616,23250,0.0182057,0.0182145,596,0.0182055,596,0.0182055,596,594,54,53,565,565,2050,2047,352,350,
5.16667,0.890345,0.890345,29174,12456,-2908,23343.8,0.0182002,0.0181873,597,0.0182,596,0.0182,598,598,54,55,565,564,2050,2047,352,354,
5.1875,0.881301,0.881301,28878,11511,-984,23437.5,0.0181954,0.0181941,596,0.0181955,596,0.0181955,598,595,55,53,564,566,2049,2052,352,351,
5.20833,0.869333,0.869333,28486,10556,-10417,23531.2,0.0181913,0.0181819,596,0.0181913,596,0.0181913,601,597,55,55,564,564,2049,2049,351,352,
5.22917,0.854483,0.854483,27999,9604,4234,23625,0.0181879,0.0182067,595,0.0181883,595,0.0181892,593,596,54,55,564,564,2049,2046,352,351,
5.25,0.836799,0.836799,27420,8663,13989,23718.8,0.0181851,0.0181753,595,0.0181844,595,0.0181845,594,596,54,55,564,562,2047,2046,352,352,
5.27083,0.81634,0.81634,26749,7743,4432,23812.5,0.0181831,0.0182022,596,0.0181831,595,0.0181831,596,596,54,54,565,564,2047,2047,351,350,
5.29167,0.793173,0.793173,25990,6854,8038,23906.2,0.0181817,0.0181809,596,0.0181811,595,0.0181811,595,597,54,55,564,562,2047,2045,352,352,
5.3125,0.767376,0.767376,25145,6003,-1953,24000,0.018181,0.0181775,594,0.0181817,595,0.0181818,596,596,55,54,564,564,2047,2049,352,351,
5.33333,0.739034,0.739034,24216,5197,-6240,
5.35417,0.708242,0.708242,23207,4443,6612,
5.375,0.6751,0.6751,22121,3746,-4056,
5.39583,0.63972,0.63972,20962,3108,-8205,
5.41667,0.602218,0.602217,19733,2534,-7027,
5.4375,0.562718,0.562719,18439,2024,-15127,
5.45833,0.521353,0.521353,17083,1579,2088,
5.47917,0.478259,0.478259,15671,1197,9704,
5.5,0.433578,0.433579,14207,878,1328,
5.52083,0.38746,0.38746,12696,618,5811,
5.54167,0.340057,0.340057,11142,413,-5043,
5.5625,0.291526,0.291526,9552,257,-6071,
5.58333,0.242028,0.242028,7930,146,6380,
5.60417,0.191727,0.191728,6282,72,-5140,
5.625,0.140791,0.140791,4613,28,-6798,
5.64583,0.0893878,0.0893878,2929,7,-6531,
5.66667,0.0376881,0.0376886,1234,0,-12894,
5.6875,-0.0141366,-0.0141363,-463,0,6304,
5.70833,-0.0659144,-0.0659144,-2159,-2,11468,
5.72917,-0.117474,-0.117473,-3849,-16,4295,
5.75,-0.168643,-0.168643,-5526,-48,8818,
5.77083,-0.219254,-0.219253,-7184,-108,-3106,
5.79167,-0.269137,-0.269136,-8819,-201,-1406,
5.8125,-0.318127,-0.318127,-10424,-336,9519,
5.83333,-0.366063,-0.366063,-11995,-518,-3123,
5.85417,-0.412785,-0.412785,-13526,-753,-3177,
5.875,-0.458137,-0.458136,-15012,-1045,-4748,
5.89583,-0.501971,-0.50197,-16448,-1398,-9755,
5.91667,-0.544139,-0.544139,-17830,-1813,10123,
5.9375,-0.584503,-0.584503,-19153,-2294,12063,
5.95833,-0.622929,-0.622929,-20412,-2839,5595,
5.97917,-0.659289,-0.659288,-21603,-3448,8987,
6,-0.693462,-0.693461,-22723,-4119,-4360,
6.02083,-0.725335,-0.725335,-23767,-4848,-659,
6.04167,-0.754804,-0.754803,-24733,-5631,7708,
6.0625,-0.781768,-0.781768,-25616,-6462,-6139,
6.08333,-0.806141,-0.806141,-26415,-7335,-5278,
6.10417,-0.827839,-0.827839,-27126,-8241,-9122,
6.125,-0.846793,-0.846792,-27747,-9174,-12688,
6.14583,-0.862938,-0.862938,-28276,-10122,7140,
6.16667,-0.876221,-0.876221,-28712,-11077,5903,
6.1875,-0.886598,-0.886598,-29052,-12028,368,
6.20833,-0.894035,-0.894035,-29295,-12964,2358,
6.22917,-0.898508,-0.898508,-29442,-13873,-11769,
6.25,-0.9,-0.9,-29491,-14745,-5898,
6.27083,-0.898508,-0.898508,-29442,-15568,-7,
6.29167,-0.894035,-0.894035,-29295,-16331,-14077,
6.3125,-0.886598,-0.886598,-29052,-17023,-11989,
6.33333,-0.876221,-0.876221,-28712,-17634,-17387,
6.35417,-0.862938,-0.862938,-28276,-18153,-18451,
6.375,-0.846793,-0.846793,-27747,-18573,1589,
6.39583,-0.827839,-0.827839,-27126,-18884,-1728,
6.41667,-0.806141,-0.80614,-26415,-19080,-5288,
6.4375,-0.781768,-0.781769,-25616,-19154,-4107,
6.45833,-0.754804,-0.754804,-24733,-19102,-17601,
6.47917,-0.725335,-0.725336,-23767,-18919,-8847,
6.5,-0.693462,-0.693462,-22723,-18603,-4728,
6.52083,-0.659289,-0.659289,-21603,-18154,-17628,
6.54167,-0.622929,-0.622929,-20412,-17572,-13760,
6.5625,-0.584503,-0.584504,-19153,-16858,-19725,
6.58333,-0.544139,-0.54414,-17830,-16016,-17255,
6.60417,-0.501971,-0.501971,-16448,-15050,3175,
6.625,-0.458137,-0.458137,-15012,-13966,-1256,
6.64583,-0.412785,-0.412784,-13526,-12772,-2232,
6.66667,-0.366063,-0.366064,-11995,-11476,-1674,
6.6875,-0.318127,-0.318128,-10424,-10087,-13689,
6.70833,-0.269137,-0.269137,-8819,-8617,-2121,
6.72917,-0.219254,-0.219254,-7184,-7076,232,
6.75,-0.168643,-0.168643,-5526,-5477,-11028,
6.77083,-0.117474,-0.117473,-3849,-3832,-5834,
6.79167,-0.0659144,-0.0659155,-2159,-2156,-12332,
6.8125,-0.0141366,-0.0141374,-463,-463,-6490,
6.83333,0.0376881,0.0376876,1234,1234,13388,
6.85417,0.0893878,0.0893876,2929,2921,7703,
6.875,0.140791,0.140791,4613,4585,8643,
6.89583,0.191727,0.191728,6282,6210,7653,
6.91667,0.242028,0.242027,7930,7784,-3208,
6.9375,0.291526,0.291525,9552,9295,9892,
6.95833,0.340057,0.340056,11142,10729,9500,
6.97917,0.38746,0.38746,12696,12077,-733,
7,0.433578,0.433578,14207,13328,4354,
7.02083,0.478259,0.478258,15671,14473,-3435,
7.04167,0.521353,0.521352,17083,15504,4745,
7.0625,0.562718,0.562718,18439,16414,22503,
7.08333,0.602218,0.602217,19733,17199,14920,
7.10417,0.63972,0.63972,20962,17853,16590,
7.125,0.6751,0.6751,22121,18375,12905,
7.14583,0.708242,0.708241,23207,18763,2670,
7.16667,0.739034,0.739034,24216,19018,15927,
7.1875,0.767376,0.767376,25145,19141,12012,
7.20833,0.793173,0.793173,25990,19136,2357,
7.22917,0.81634,0.81634,26749,19006,6267,
7.25,0.836799,0.836798,27420,18757,-3021,
7.27083,0.854483,0.854483,27999,18395,6965,
7.29167,0.869333,0.869333,28486,17929,21811,
7.3125,0.881301,0.8813,28878,17367,12535,
7.33333,0.890345,0.890345,29174,16718,14578,
7.35417,0.896437,0.896437,29374,15992,8132,
7.375,0.899556,0.899556,29476,15201,-988,
7.39583,0.899692,0.899692,29481,14354,12118,
7.41667,0.896844,0.896844,29387,13464,5150,
7.4375,0.891021,0.891021,29196,12541,-3276,
7.45833,0.882244,0.882244,28909,11597,-409,
7.47917,0.870541,0.870541,28525,10643,-10174,
7.5,0.855951,0.855951,28047,9690,2142,
7.52083,0.838522,0.838522,27476,8747,14486,
7.54167,0.818312,0.818313,26814,7826,4803,
7.5625,0.795389,0.795389,26063,6933,7804,
7.58333,0.769828,0.769828,25225,6079,-438,
7.60417,0.741714,0.741714,24304,5269,-7176,
7.625,0.71114,0.71114,23302,4510,6201,
7.64583,0.678207,0.678207,22223,3807,-2612,
7.66667,0.643025,0.643026,21070,3164,-8721,
7.6875,0.605711,0.605711,19847,2583,-6320,
7.70833,0.566388,0.566388,18559,2068,-15222,
7.72917,0.525187,0.525188,17209,1616,3,
7.75,0.482244,0.482245,15802,1229,10366,
7.77083,0.437702,0.437702,14342,905,1442,
7.79167,0.391708,0.391708,12835,639,5698,
7.8125,0.344415,0.344415,11285,429,-3641,
7.83333,0.29598,0.295981,9698,269,-7279,
7.85417,0.246563,0.246564,8079,154,6206,
7.875,0.196329,0.19633,6433,77,-3853,
7.89583,0.145443,0.145444,4765,31,-7428,
7.91667,0.0940756,0.0940756,3082,8,-5717,
7.9375,0.0423958,0.0423955,1389,0,-13336,
7.95833,-0.00942461,-0.00942351,-308,0,4303,
7.97917,-0.0612138,-0.061213,-2005,-2,12279,
8,-0.1128,-0.112799,-3696,-14,4194,
8.02083,-0.164012,-0.164012,-5374,-44,8895,
8.04167,-0.21468,-0.21468,-7034,-101,-1819,
8.0625,-0.264636,-0.264635,-8671,-191,-2785,
8.08333,-0.313715,-0.313714,-10279,-322,9648,
8.10417,-0.361753,-0.361752,-11853,-499,-1970,
8.125,-0.408591,-0.408591,-13388,-729,-3804,
8.14583,-0.454075,-0.454075,-14879,-1016,-3788,
8.16667,-0.498052,-0.498053,-16320,-1363,-10474,
8.1875,-0.540378,-0.540377,-17707,-1773,8334,
8.20833,-0.580912,-0.580911,-19035,-2248,13047,
8.22917,-0.619519,-0.619519,-20300,-2787,5368,
8.25,-0.656072,-0.656072,-21498,-3390,9339,
8.27083,-0.690449,-0.690449,-22624,-4056,-3176,
8.29167,-0.722536,-0.722535,-23676,-4779,-2097,
8.3125,-0.752227,-0.752226,-24648,-5558,8186,
8.33333,-0.779423,-0.779423,-25540,-6385,-5108,
8.35417,-0.804034,-0.804034,-26346,-7254,-5814,
8.375,-0.825979,-0.825979,-27065,-8158,-8027,
8.39583,-0.845185,-0.845185,-27695,-9088,-13658,
8.41667,-0.861588,-0.861587,-28232,-10036,5626,
8.4375,-0.875133,-0.875133,-28676,-10990,7011,
8.45833,-0.885776,-0.885776,-29025,-11942,36,
8.47917,-0.893482,-0.893482,-29277,-12880,2977,
8.5,-0.898224,-0.898224,-29433,-13792,-10756,
8.52083,-0.899988,-0.899988,-29490,-14668,-7370,
8.54167,-0.898767,-0.898767,-29450,-15496,760,
8.5625,-0.894565,-0.894565,-29313,-16264,-13242,
8.58333,-0.887396,-0.887397,-29078,-16963,-12448,
8.60417,-0.877285,-0.877285,-28746,-17582,-16270,
8.625,-0.864264,-0.864264,-28320,-18110,-19723,
8.64583,-0.848377,-0.848378,-27799,-18539,311,
8.66667,-0.829677,-0.829677,-27186,-18861,-628,
8.6875,-0.808225,-0.808225,-26483,-19067,-5775,
8.70833,-0.784092,-0.784093,-25693,-19152,-3312,
8.72917,-0.75736,-0.75736,-24817,-19112,-16885,
8.75,-0.728115,-0.728115,-23858,-18941,-10381,
8.77083,-0.696456,-0.696457,-22821,-18638,-3787,
8.79167,-0.662487,-0.662488,-21708,-18201,-17090,
8.8125,-0.626322,-0.626322,-20523,-17630,-14181,
8.83333,-0.588079,-0.588079,-19270,-16928,-18711,
8.85417,-0.547885,-0.547885,-17953,-16098,-18871,
8.875,-0.505875,-0.505876,-16576,-15143,2099,
8.89583,-0.462187,-0.462188,-15144,-14070,-273,
8.91667,-0.416966,-0.416967,-13663,-12885,-2882,
8.9375,-0.370363,-0.370363,-12136,-11598,-758,
8.95833,-0.322531,-0.322531,-10568,-10217,-13327,
8.97917,-0.27363,-0.27363,-8966,-8754,-3675,
9,-0.223821,-0.223822,-7334,-7218,1301,
9.02083,-0.17327,-0.173271,-5677,-5624,-10789,
9.04167,-0.122144,-0.122145,-4002,-3983,-6171,
9.0625,-0.0706132,-0.0706134,-2313,-2310,-11454,
9.08333,-0.0188482,-0.0188481,-617,-617,-8379,
9.10417,0.0329793,0.032978,1080,1080,12574,
9.125,0.0846975,0.0846964,2775,2769,8574,
9.14583,0.136135,0.136134,4460,4435,7936,
9.16667,0.187121,0.18712,6131,6064,8733,
9.1875,0.237486,0.237486,7781,7644,-3144,
9.20833,0.287063,0.287064,9406,9160,8456,
9.22917,0.335689,0.335688,10999,10602,10738,
9.25,0.383201,0.383201,12556,11959,-696,
9.27083,0.429443,0.429442,14071,13219,4222,
9.29167,0.47426,0.47426,15540,14374,-2647,
9.3125,0.517505,0.517505,16957,15415,2728,
9.33333,0.559033,0.559033,18318,16337,22054,
9.35417,0.598707,0.598706,19618,17133,15734,
9.375,0.636396,0.636396,20853,17799,15967,
9.39583,0.671974,0.671974,22019,18333,14204,
9.41667,0.705324,0.705324,23112,18734,2514,
9.4375,0.736335,0.736335,24128,19001,14742,
9.45833,0.764903,0.764903,25064,19136,13441,
9.47917,0.790935,0.790935,25917,19142,2273,
9.5,0.814344,0.814344,26684,19023,6414,
9.52083,0.835053,0.835052,27363,18784,-2325,
9.54167,0.852992,0.852992,27950,18433,4914,
9.5625,0.868102,0.868102,28445,17976,21750,
9.58333,0.880333,0.880333,28846,17422,13276,
9.60417,0.889644,0.889644,29151,16780,14094,
9.625,0.896006,0.896006,29360,16061,9606,
9.64583,0.899396,0.899396,29471,15275,-1372,
9.66667,0.899803,0.899803,29484,14433,11205,
9.6875,0.897226,0.897226,29400,13546,6684,
9.70833,0.891673,0.891673,29218,12626,-3496,
9.72917,0.883163,0.883164,28939,11684,-27,
9.75,0.871725,0.871725,28564,10730,-9671,
9.77083,0.857395,0.857395,28095,9776,50,
9.79167,0.840222,0.840222,27532,8832,14724,
9.8125,0.820263,0.820263,26878,7908,5368,
9.83333,0.797583,0.797584,26135,7013,7422,
9.85417,0.772258,0.772259,25305,6155,1076,
9.875,0.744373,0.744373,24391,5340,-7859,
9.89583,0.714018,0.714018,23396,4576,5512,
9.91667,0.681296,0.681296,22324,3868,-1113,
9.9375,0.646314,0.646314,21178,3220,-9129,
9.95833,0.609188,0.609189,19961,2633,-5790,
9.97917,0.570043,0.570043,18679,2112,-15030,
10,0.529007,0.529007,17334,1655,-2142,
10.0208,0.486216,0.486216,15932,1262,10807,
10.0417,0.441813,0.441814,14477,932,1755,
10.0625,0.395945,0.395946,12974,661,5404,
10.0833,0.348764,0.348765,11428,446,-2184,
10.1042,0.300426,0.300427,9844,282,-8273,
10.125,0.251092,0.251092,8227,163,5738,
10.1458,0.200925,0.200927,6583,83,-2463,
10.1667,0.150092,0.150093,4918,34,-7994,
10.1875,0.0987609,0.0987617,3236,9,-5057,
10.2083,0.0471024,0.0471029,1543,1,-13473,
10.2292,-0.00471237,-0.00471215,-154,0,2182,
10.25,-0.0565115,-0.0565116,-1851,-1,12912,
10.2708,-0.108123,-0.108122,-3542,-12,4285,
10.2917,-0.159376,-0.159375,-5222,-41,8765,
10.3125,-0.210101,-0.2101,-6884,-95,-426,
10.3333,-0.260129,-0.260128,-8523,-181,-3996,
